"合约","类型","状态","触发条件","买卖","开平","投保","预埋时间","报单价格","报单手数","合约名"
"l2309","条件单(时间)","已启动","行情时间到14:59:01","买","平仓","投机","08:55:00","对价","1","L2309"
"l2309","条件单(时间)","已启动","行情时间到14:59:02","买","平仓","投机","08:55:00","对价","1","L2309"
"l2309","条件单(时间)","已启动","行情时间到14:59:03","买","平仓","投机","08:55:00","对价","1","L2309"
"l2309","条件单(时间)","已启动","行情时间到14:59:04","买","平仓","投机","08:55:00","对价","1","L2309"
"l2309","条件单(时间)","已启动","行情时间到14:59:05","买","平仓","投机","08:55:00","对价","1","L2309"
"l2309","条件单(时间)","已启动","行情时间到14:59:06","买","平仓","投机","08:55:00","对价","1","L2309"
"l2309","条件单(时间)","已启动","行情时间到14:59:07","买","平仓","投机","08:55:00","对价","1","L2309"
"l2309","条件单(时间)","已启动","行情时间到14:59:08","买","平仓","投机","08:55:00","对价","1","L2309"
"l2309","条件单(时间)","已启动","行情时间到14:59:09","买","平仓","投机","08:55:00","对价","1","L2309"
"l2309","条件单(时间)","已启动","行情时间到14:59:10","买","平仓","投机","08:55:00","对价","1","L2309"
"l2309","条件单(时间)","已启动","行情时间到14:59:11","买","平仓","投机","08:55:00","对价","1","L2309"
"l2309","条件单(时间)","已启动","行情时间到14:59:12","买","平仓","投机","08:55:00","对价","1","L2309"
"l2309","条件单(时间)","已启动","行情时间到14:59:13","买","平仓","投机","08:55:00","对价","1","L2309"
